med_em,lb_em,ub_em,med_an,lb_an,ub_an,antigen,group
0.7168692361000054,0.6745031194279326,0.7592353527720782,0.7592267802958934,0.7210680131936208,0.7972583581322558,DENV1_DIII,Flaviviruses
0.9332187216802602,0.9108288012380663,0.9556086421224541,0.988486796447779,0.9752777189400178,0.993488261251653,DENV1_NS1,Flaviviruses
0.9701076816461431,0.9570369199513992,0.9831784433408871,0.9967897596380952,0.9949509133094321,0.9979530906984245,DENV1_VLP,Flaviviruses
0.7464950157257849,0.7052645867338406,0.7877254447177292,0.7553722149567352,0.7202997931639796,0.7838386416569904,DENV2_DIII,Flaviviruses
0.8937043552428167,0.8655141602858055,0.9218945501998278,0.9805746930946603,0.9612370094627095,0.9876291846576046,DENV2_NS1,Flaviviruses
0.9700677008369316,0.9556184999273988,0.9845169017464644,0.9943316291348441,0.9913778857308871,0.9964177105282184,DENV2_VLP,Flaviviruses
0.6481822058745136,0.6023540322076594,0.6940103795413678,0.6910029186050273,0.6459360265583225,0.7331461104018203,DENV3_DIII,Flaviviruses
0.8720347566501412,0.8431246606714802,0.9009448526288022,0.9928649692324363,0.9834458352221009,0.9960713282211648,DENV3_NS1,Flaviviruses
0.9796231142384989,0.9703582432853858,0.988887985191612,0.9910042841304456,0.9867212098028734,0.9940578830325305,DENV3_VLP,Flaviviruses
0.7251452636068021,0.6827963838767496,0.7674941433368546,0.7656331507326463,0.7138810725939886,0.8080304480342027,DENV4_DIII,Flaviviruses
0.8930513353590277,0.8642656406052904,0.921837030112765,0.9857178632659992,0.9751966147995363,0.9909699438806604,DENV4_NS1,Flaviviruses
0.9797164027933258,0.9704482410515413,0.9889845645351104,0.9971483523816066,0.9960587832063146,0.9979525770823718,DENV4_VLP,Flaviviruses
0.9690948344794499,0.9570987124495861,0.9810909565093137,0.9465093857188774,0.9208258290079392,0.9758683349918665,JEV_E,Flaviviruses
0.9180260141798603,0.8964600947312011,0.9395919336285194,0.8913764043675851,0.8662012802443537,0.919289554621798,JEV_NS1,Flaviviruses
0.7637807536592961,0.703787239470071,0.8237742678485211,0.7007368152727396,0.6587991850359877,0.7442868214176337,MAYV_NSP1,Alphaviruses
0.8959699344314728,0.8689245966879837,0.9230152721749618,0.927921122928782,0.8975232302974241,0.9640634039981456,USUV_NS1,Flaviviruses
0.7622741084279546,0.7230881802416648,0.8014600366142445,0.8763347235624986,0.8552975633221956,0.8985039014165886,WNV_DIII,Flaviviruses
0.9132816248200862,0.8904233772420258,0.9361398723981467,0.9282170978427078,0.9121074243642522,0.9424317628680909,WNV_NS1,Flaviviruses
0.8820832666986513,0.8556330249778116,0.9085335084194911,0.8308147518803255,0.7953616129408481,0.8582578681428037,YFV_NS1,Flaviviruses
0.9590196705581321,0.9433860692622295,0.9746532718540347,0.9887179426697765,0.9836482078615231,0.9924843383626469,ZIKV_VLP,Flaviviruses
0.6382936190628499,0.5927016989647248,0.6838855391609749,0.7337127823627909,0.7100924729379594,0.75649615481412,ZIKVAS_DIII,Flaviviruses
0.9501439309131616,0.9281176090527588,0.9721702527735645,0.9804408056145844,0.9655845646362957,0.9874863065072322,ZIKVSU_NS1,Flaviviruses
0.9148808571885495,0.8884092494891629,0.9413524648879361,0.9800343309638774,0.9657454777253434,0.9876869331017805,ZIKVU_NS1,Flaviviruses
0.9314076611647462,0.8726919252764362,0.9901233970530561,0.9761385465212891,0.9292703193456017,0.9932443921803388,CHIKV_E2,Alphaviruses
0.9595920274057926,0.9167342209350169,1,0.9988264314214046,0.9979366678903406,0.999390463662813,CHIKV_VLP,Alphaviruses
0.9591248832139521,0.931778398912745,0.9864713675151591,0.9789459463212935,0.943592817399591,0.9895751676301332,MAYV_E2,Alphaviruses
0.9565555901588291,0.9078867352634399,1,0.9966570800531775,0.9926314811331252,0.9983562849738203,ONNV_VLP,Alphaviruses
0.981315635161789,0.9727733015096378,0.9898579688139402,0.9726695709828068,0.7189441211532299,0.9917021681073832,YFV_E,Flaviviruses
