xmin,xmax,xmid,count,density,n
2.8000000000000003,3.0000000000000004,2.9000000000000004,1,0.014792899408284009,338
3.0000000000000004,3.2,3.1000000000000005,4,0.059171597633136175,338
3.2,3.4000000000000004,3.3000000000000003,16,0.23668639053254414,338
3.4000000000000004,3.6000000000000005,3.5000000000000004,32,0.4733727810650883,338
3.6000000000000005,3.8000000000000003,3.7,55,0.8136094674556223,338
3.8000000000000003,4,3.9000000000000004,52,0.7692307692307703,338
4,4.2,4.1,33,0.48816568047337233,338
4.2,4.4,4.300000000000001,31,0.4585798816568043,338
4.4,4.6000000000000005,4.5,23,0.34023668639053223,338
4.6000000000000005,4.800000000000001,4.700000000000001,18,0.2662721893491122,338
4.800000000000001,5,4.9,15,0.22189349112426113,338
5,5.200000000000001,5.1000000000000005,9,0.1331360946745555,338
5.200000000000001,5.4,5.300000000000001,12,0.17751479289940889,338
5.4,5.6000000000000005,5.5,7,0.10355029585798807,338
5.6000000000000005,5.800000000000001,5.700000000000001,9,0.1331360946745561,338
5.800000000000001,6,5.9,2,0.02958579881656815,338
6,6.200000000000001,6.1000000000000005,6,0.08875739644970367,338
6.200000000000001,6.4,6.300000000000001,2,0.02958579881656815,338
6.4,6.6000000000000005,6.5,2,0.029585798816568018,338
6.6000000000000005,6.800000000000001,6.700000000000001,1,0.014792899408284009,338
6.800000000000001,7,6.9,3,0.04437869822485222,338
7,7.200000000000001,7.1000000000000005,3,0.04437869822485183,338
7.200000000000001,7.4,7.300000000000001,1,0.014792899408284075,338
7.4,7.600000000000001,7.500000000000001,0,0,338
7.600000000000001,7.800000000000001,7.700000000000001,1,0.014792899408284075,338
