xmin,xmax,xmid,count,density,n
3.6,3.8000000000000003,3.7,2,0.029585798816568018,338
3.8000000000000003,4,3.9000000000000004,6,0.08875739644970426,338
4,4.2,4.1,14,0.20710059171597614,338
4.2,4.4,4.300000000000001,18,0.2662721893491122,338
4.4,4.6,4.5,16,0.2366863905325452,338
4.6,4.800000000000001,4.7,30,0.4437869822485183,338
4.800000000000001,5,4.9,38,0.5621301775147949,338
5,5.2,5.1,34,0.5029585798816563,338
5.2,5.4,5.300000000000001,33,0.48816568047337233,338
5.4,5.6,5.5,28,0.4142011834319541,338
5.6,5.800000000000001,5.7,19,0.28106508875739494,338
5.800000000000001,6,5.9,25,0.36982248520710187,338
6,6.2,6.1,22,0.3254437869822482,338
6.2,6.4,6.300000000000001,19,0.28106508875739616,338
6.4,6.6,6.5,7,0.10355029585798853,338
6.6,6.800000000000001,6.7,4,0.05917159763313578,338
6.800000000000001,7,6.9,9,0.13313609467455667,338
7,7.2,7.1,5,0.07396449704142005,338
7.2,7.4,7.300000000000001,3,0.04437869822485203,338
7.4,7.6,7.5,0,0,338
7.6,7.800000000000001,7.7,1,0.014792899408283945,338
7.800000000000001,8,7.9,0,0,338
8,8.200000000000001,8.100000000000001,2,0.02958579881656789,338
8.200000000000001,8.4,8.3,0,0,338
8.4,8.6,8.5,0,0,338
8.6,8.8,8.7,2,0.02958579881656789,338
8.8,9,8.9,1,0.014792899408284075,338
