xmin,xmax,xmid,count,density,n
2.8000000000000003,3.0000000000000004,2.9000000000000004,2,0.0028686173264486493,3486
3.0000000000000004,3.2,3.1000000000000005,22,0.03155479059093522,3486
3.2,3.4000000000000004,3.3000000000000003,16,0.022948938611589195,3486
3.4000000000000004,3.6000000000000005,3.5000000000000004,15,0.02151462994836487,3486
3.6000000000000005,3.8000000000000003,3.7,39,0.05593803786574879,3486
3.8000000000000003,4,3.9000000000000004,40,0.05737234652897311,3486
4,4.2,4.1,47,0.06741250717154326,3486
4.2,4.4,4.300000000000001,57,0.0817555938037865,3486
4.4,4.6000000000000005,4.5,97,0.1391279403327595,3486
4.6000000000000005,4.800000000000001,4.700000000000001,128,0.18359150889271356,3486
4.800000000000001,5,4.9,186,0.26678141135972555,3486
5,5.200000000000001,5.1000000000000005,268,0.3843947217441173,3486
5.200000000000001,5.4,5.300000000000001,315,0.4518072289156642,3486
5.4,5.6000000000000005,5.5,369,0.5292598967297758,3486
5.6000000000000005,5.800000000000001,5.700000000000001,401,0.5751577739529542,3486
5.800000000000001,6,5.9,288,0.4130808950086073,3486
6,6.200000000000001,6.1000000000000005,203,0.2911646586345366,3486
6.200000000000001,6.4,6.300000000000001,158,0.2266207687894443,3486
6.4,6.6000000000000005,6.5,115,0.16494549627079733,3486
6.6000000000000005,6.800000000000001,6.700000000000001,74,0.10613884107860003,3486
6.800000000000001,7,6.9,63,0.09036144578313285,3486
7,7.200000000000001,7.1000000000000005,81,0.11617900172116978,3486
7.200000000000001,7.4,7.300000000000001,76,0.10900745840504915,3486
7.4,7.600000000000001,7.500000000000001,73,0.10470453241537524,3486
7.600000000000001,7.800000000000001,7.700000000000001,69,0.09896729776247884,3486
7.800000000000001,8,7.9,48,0.06884681583476789,3486
8,8.200000000000001,8.100000000000001,43,0.061675272518645685,3486
8.200000000000001,8.4,8.3,34,0.048766494549627254,3486
8.4,8.600000000000001,8.5,40,0.05737234652897273,3486
8.600000000000001,8.8,8.700000000000001,43,0.061675272518646226,3486
8.8,9,8.9,33,0.04733218588640292,3486
9,9.200000000000001,9.100000000000001,24,0.03442340791738364,3486
9.200000000000001,9.4,9.3,10,0.01434308663224331,3486
9.4,9.600000000000001,9.5,6,0.00860585197934591,3486
9.600000000000001,9.8,9.700000000000001,3,0.004302925989672993,3486
