FMM_serothr_prev,FMM_serothr_youden,FMM_serothr_neg2sd,antigen
4.594975208295484,5.443530314378594,6.8942710955738935,DENV1_DIII
4.257356584406101,4.976824338635031,5.10078788627194,DENV1_NS1
6.151802089733396,7.254414270747018,7.438888442289904,DENV1_VLP
4.757529077698958,5.5071292613205,7.107410806706849,DENV2_DIII
4.713041248236893,5.341874250467305,5.671771206206241,DENV2_NS1
7.03233357084785,7.660186872694558,8.017569133259698,DENV2_VLP
5.4600283088495996,5.444903395617279,7.148466480388471,DENV3_DIII
4.425735580361268,5.0352878751787085,5.189062902935648,DENV3_NS1
7.668748589628021,8.181260762127334,8.693959816891024,DENV3_VLP
5.312908374365143,5.564224831713192,7.048627266821969,DENV4_DIII
4.3952986111612695,5.0833196357737735,5.320860284936064,DENV4_NS1
6.468142146250152,7.315074829962748,7.436331963496132,DENV4_VLP
4.14538984896841,5.660923131917022,6.356502667300867,JEV_E
3.5452215072546256,4.949967536603328,5.767120727901153,JEV_NS1
4.530497417560614,5.1484715241869505,6.806052215859868,MAYV_NSP1
4.0174570834773675,4.837007030229381,5.977600327303649,OROV_GC
6.016979192085436,6.3920846062767245,6.894449356464271,OROV_GN
4.504513189153931,5.353859212125641,5.878791404173654,USUV_NS1
3.6522677823000445,4.892768455097308,5.651602239043294,WNV_DIII
3.3831501206683385,6.041650915596406,6.6994596137709514,WNV_NS1
4.466186776566995,4.984062456960503,6.771397672014265,YFV_NS1
4.894042586451038,5.580438392299502,5.944226253264743,ZIKV_VLP
3.7574374628237153,4.7599856244952985,6.834394701764616,ZIKVAS_DIII
4.397291828358172,4.375459237359075,4.561116015428592,ZIKVSU_NS1
4.468675791776079,4.8804443464778675,5.067026403117027,ZIKVU_NS1
6.2508806839454,6.283009836815566,6.382510282162565,CHIKV_E2
7.03979400830268,6.994578826652965,6.820447049569296,CHIKV_VLP
6.320052994787847,6.434695322807583,6.81397791703031,MAYV_E2
5.89795243998865,5.851017488487477,5.896993898557175,ONNV_VLP
8.342106895115185,7.135282948575804,7.4345885944614905,YFV_E
