FMM_serothr_prev,FMM_serothr_youden,FMM_serothr_neg2sd,antigen
4.454205612885473,5.414768611600584,7.076885314501363,DENV1_DIII
4.08882144140993,4.989730063736928,5.2504239881484756,DENV1_NS1
6.114915306836651,7.260116386493603,7.9798815046400255,DENV1_VLP
4.408119320171708,5.505257569051977,7.269758586674831,DENV2_DIII
4.631435113345718,5.328899512091834,5.864442824585863,DENV2_NS1
6.9300590799527,7.650345766391718,8.408276234953409,DENV2_VLP
5.173970833700341,5.422521768170799,7.274360999234251,DENV3_DIII
4.332633179228878,5.008333310167004,5.370845334221711,DENV3_NS1
3.4292873084557947,6.549588307415458,8.294810967310259,DENV3_VLP
4.940433120896632,5.553147437926244,7.248894275685947,DENV4_DIII
4.293030783401522,5.036205457394864,5.496375534991773,DENV4_NS1
3.5996121677833877,5.981084804230138,7.198655124070079,DENV4_VLP
4.521972398429227,5.571434617819252,6.653477724485865,JEV_E
3.397132215104953,4.932599972202449,6.048768086305714,JEV_NS1
4.713442156907768,5.151618651116613,6.971608072611049,MAYV_NSP1
4.165662573357011,4.7881605708723125,6.153631055580437,OROV_GC
6.051964095015066,6.345720271897197,6.935725501702846,OROV_GN
3.8130807850264303,5.167896067648615,6.107031470361499,USUV_NS1
4.5350405081452925,6.358076216241578,6.778181389027502,WNV_DIII
3.4849906262602506,4.93910070902246,6.062825176908735,WNV_NS1
4.219507705176107,4.905411624769967,7.2158886566653075,YFV_NS1
3.635670975964841,5.569516118958356,6.1848651080191175,ZIKV_VLP
3.9139740506356073,5.202319845123272,7.323123484629221,ZIKVAS_DIII
3.9329008959000937,4.617620700273931,4.773369526508067,ZIKVSU_NS1
4.416583595188556,4.866648707226158,5.205669513329175,ZIKVU_NS1
6.154651147617389,6.229240931263536,6.295044640770985,CHIKV_E2
6.709471938611888,6.723397350976235,6.635153688835501,CHIKV_VLP
6.023797042829286,6.229881666946563,6.4835298784910425,MAYV_E2
5.624084171021508,5.632315838223031,5.708476296442642,ONNV_VLP
7.346978474025993,7.499795712663493,8.025782071602563,YFV_E
