param,median,lb,ub,antigen
theta.1.,0.264867,0.10633955,0.406551075,DENV3 EDIII
theta.2.,0.524498,0.387882075,0.677927525,DENV3 EDIII
theta.3.,0.1950985,0.122359825,0.371287825,DENV3 EDIII
mu.1.,4.057085,4.0152285,4.101460250000001,DENV3 NS1
mu.2.,5.699305,5.6549185,5.743405000000001,DENV3 NS1
mu.3.,8.25112,8.19278675,8.31343425,DENV3 NS1
sigma.1.,0.517552,0.49024205,0.5478419,DENV3 NS1
sigma.2.,0.545801,0.49039995,0.620170725,DENV3 NS1
sigma.3.,0.7284930000000001,0.683087425,0.77650195,DENV3 NS1
theta.1.,0.2050705,0.1869279,0.2245202,DENV3 NS1
theta.2.,0.3883325,0.36022255000000003,0.4189384,DENV3 NS1
theta.3.,0.406358,0.384151525,0.4277725,DENV3 NS1
mu.1.,5.004534816891024,4.857183066891024,5.149415066891024,DENV3 VLP
mu.2.,6.907464816891024,6.699292316891024,7.148817816891024,DENV3 VLP
mu.3.,9.642859816891026,9.604024566891024,9.680585316891024,DENV3 VLP
sigma.1.,1.36658,1.26801975,1.47749075,DENV3 VLP
sigma.2.,1.470695,1.35353,1.5928705,DENV3 VLP
sigma.3.,0.3197905,0.28738755,0.3534433,DENV3 VLP
theta.1.,0.00928188,2.8119405e-4,0.0488959525,DENV3 VLP
theta.2.,0.4540015,0.404504575,0.49883165,DENV3 VLP
theta.3.,0.533376,0.491216475,0.574790575,DENV3 VLP
mu.1.,5.482610946244511,5.393604946244511,5.569256446244511,DENV4 EDIII
mu.2.,5.964895946244511,5.879563946244511,6.052137196244511,DENV4 EDIII
mu.3.,6.8215259462445115,6.445190696244511,7.353857446244511,DENV4 EDIII
sigma.1.,0.8190085,0.7607978,0.886324725,DENV4 EDIII
sigma.2.,0.413358,0.30498115,0.539345425,DENV4 EDIII
sigma.3.,1.00501,0.7930381,1.1371805,DENV4 EDIII
theta.1.,0.200856,0.057035775,0.334192175,DENV4 EDIII
theta.2.,0.4338955,0.3043889,0.6082413,DENV4 EDIII
theta.3.,0.3580025,0.213823775,0.527833175,DENV4 EDIII
mu.1.,4.16836,4.1255887499999995,4.212562,DENV4 NS1
mu.2.,5.825725,5.7886185,5.862472,DENV4 NS1
mu.3.,8.215145,8.15065725,8.27864,DENV4 NS1
sigma.1.,0.536493,0.509326425,0.567381875,DENV4 NS1
sigma.2.,0.5130305,0.4686693,0.561925275,DENV4 NS1
sigma.3.,0.7109675,0.6665102749999999,0.7619847,DENV4 NS1
theta.1.,0.2174295,0.199260925,0.23620615,DENV4 NS1
theta.2.,0.4448725,0.417598675,0.47219247500000006,DENV4 NS1
theta.3.,0.337396,0.317764575,0.3584173,DENV4 NS1
mu.1.,4.674831963496131,4.560546463496131,4.788739213496131,DENV4 VLP
mu.2.,6.439921963496131,6.2372062134961315,6.683397963496131,DENV4 VLP
mu.3.,9.074726963496133,9.030315963496133,9.11642721349613,DENV4 VLP
sigma.1.,1.062615,0.986184475,1.14974225,DENV4 VLP
sigma.2.,1.329485,1.21431,1.44869175,DENV4 VLP
sigma.3.,0.3517385,0.3176675,0.390651075,DENV4 VLP
theta.1.,0.0132595,5.3780575e-4,0.0588736925,DENV4 VLP
theta.2.,0.4613445,0.4100399,0.509426175,DENV4 VLP
theta.3.,0.5219265,0.4779806,0.563728,DENV4 VLP
mu.1.,4.514889667300867,4.408919167300867,4.618692417300867,JEV E
mu.2.,6.124364667300867,5.959528167300867,6.272072667300867,JEV E
mu.3.,8.047034667300867,7.986349167300867,8.098341417300867,JEV E
sigma.1.,0.9214195,0.8520516,1.00142625,JEV E
sigma.2.,0.875171,0.543981075,1.086691,JEV E
sigma.3.,0.3917905,0.34980575,0.43640925,JEV E
theta.1.,0.0558566,0.0023261725,0.1348315,JEV E
theta.2.,0.476253,0.34612355,0.577304725,JEV E
theta.3.,0.471068,0.4072064,0.53134875,JEV E
mu.1.,4.155255,4.06195725,4.24685275,JEV NS1
mu.2.,5.601425,5.541769749999999,5.700050500000001,JEV NS1
mu.3.,8.069625,7.85350425,8.2579415,JEV NS1
sigma.1.,0.7763645,0.6907947000000001,0.849524,JEV NS1
sigma.2.,0.929121,0.811180975,0.97982025,JEV NS1
sigma.3.,0.6474025,0.555759725,0.7617397,JEV NS1
theta.1.,0.0170432,8.189032500000001e-4,0.1039226,JEV NS1
theta.2.,0.891065,0.784511575,0.9245579,JEV NS1
theta.3.,0.0914334,0.06946539,0.118922775,JEV NS1
mu.1.,4.310225861942367,4.226755611942367,4.392057111942368,MAYV E2
mu.2.,5.3708208619423665,5.273733861942367,5.4742868619423675,MAYV E2
mu.3.,7.586925861942367,7.250443611942368,7.793357111942367,MAYV E2
sigma.1.,0.7701685,0.713032825,0.83234525,MAYV E2
sigma.2.,0.723888,0.62509115,0.79427605,MAYV E2
sigma.3.,0.8335215,0.705582575,1.0357825,MAYV E2
theta.1.,0.01951825,7.011207e-4,0.0955007275,MAYV E2
theta.2.,0.7187655,0.612136375,0.77913025,MAYV E2
theta.3.,0.2570525,0.2097644,0.330863225,MAYV E2
mu.1.,5.107064215859869,5.017478965859869,5.197000465859869,MAYV NSP1
mu.2.,5.5141692158598685,5.4409984658598685,5.598339465859869,MAYV NSP1
mu.3.,7.204049215859868,6.468745965859869,7.6585597158598695,MAYV NSP1
sigma.1.,0.847059,0.7867689,0.916108875,MAYV NSP1
sigma.2.,0.6012475,0.523019575,0.6668045,MAYV NSP1
sigma.3.,0.9337675,0.68134525,1.24721325,MAYV NSP1
theta.1.,0.08430025,0.00686921775,0.23374095,MAYV NSP1
theta.2.,0.756659,0.589954825,0.873615725,MAYV NSP1
theta.3.,0.1473715,0.0945851225,0.264121775,MAYV NSP1
mu.1.,4.296422784811557,4.244862284811557,4.350043534811556,ONNV VLP
mu.2.,5.061442784811557,4.955929784811557,5.129353534811557,ONNV VLP
mu.3.,6.405557784811556,6.341772784811557,6.466272784811556,ONNV VLP
sigma.1.,0.4893,0.456351825,0.5274365,ONNV VLP
sigma.2.,0.4417275,0.3769448,0.573461425,ONNV VLP
sigma.3.,0.2508375,0.197721125,0.30069015,ONNV VLP
theta.1.,0.189482,0.0442397275,0.2645191,ONNV VLP
theta.2.,0.64326,0.557613475,0.813981775,ONNV VLP
theta.3.,0.165429,0.130576925,0.19753545,ONNV VLP
mu.1.,4.47136,4.4087162499999994,4.5364675,USUV NS1
mu.2.,5.957405,5.910809499999999,6.002361250000001,USUV NS1
mu.3.,7.644865,7.37568675,7.854934,USUV NS1
sigma.1.,0.6338355,0.6014278500000001,0.6699945,USUV NS1
sigma.2.,0.5403370000000001,0.48286355,0.6081593999999999,USUV NS1
sigma.3.,0.7004555,0.5966960499999999,0.8333219,USUV NS1
theta.1.,0.228047,0.198195575,0.25736327500000006,USUV NS1
theta.2.,0.6052474999999999,0.5369655750000001,0.663680275,USUV NS1
theta.3.,0.1657845,0.12909605,0.21597702500000004,USUV NS1
mu.1.,4.466529239043295,4.383828239043295,4.548170489043295,WNV EDIII
mu.2.,5.150224239043295,5.086577489043295,5.250710239043295,WNV EDIII
sigma.1.,0.7721415,0.718451375,0.834704025,WNV EDIII
sigma.2.,0.688033,0.634046775,0.7281767,WNV EDIII
theta.1.,0.0609601,0.00288353675,0.191748075,WNV EDIII
theta.2.,0.93904,0.808251925,0.99711645,WNV EDIII
mu.1.,4.37274,4.2978055,4.44480175,WNV NS1
mu.2.,5.8074449999999995,5.762938750000001,5.8501,WNV NS1
mu.3.,7.512505,7.39645875,7.62043325,WNV NS1
sigma.1.,0.663386,0.6303329499999999,0.69885405,WNV NS1
sigma.2.,0.4917195,0.438204175,0.558470425,WNV NS1
sigma.3.,0.656824,0.595505525,0.7297350250000001,WNV NS1
theta.1.,0.2640915,0.2264054,0.30119795,WNV NS1
theta.2.,0.5326550000000001,0.4821931,0.5869378500000001,WNV NS1
theta.3.,0.2022355,0.1780828,0.228582175,WNV NS1
mu.1.,5.457154942574303,5.364779692574303,5.548919942574303,YFV E
mu.2.,6.726849942574303,6.566878692574303,6.895403692574304,YFV E
mu.3.,8.224844942574304,8.181219692574304,8.266600442574303,YFV E
sigma.1.,0.868595,0.806829675,0.93971855,YFV E
sigma.2.,0.870233,0.780452175,0.9595003,YFV E
sigma.3.,0.3229545,0.288966725,0.3588011,YFV E
theta.1.,0.00920325,4.35981925e-4,0.04138363,YFV E
theta.2.,0.4681595,0.405868325,0.5299547,YFV E
theta.3.,0.5201925,0.459782,0.579028025,YFV E
mu.1.,4.5165500000000005,4.4141755,4.615704000000001,YFV NS1
mu.2.,5.535555,5.498848000000001,5.5719027500000005,YFV NS1
mu.3.,7.506729999999999,7.261435,7.677922000000001,YFV NS1
sigma.1.,1.021375,0.9603985,1.087263,YFV NS1
sigma.2.,0.5329969999999999,0.495659,0.5722882250000001,YFV NS1
sigma.3.,0.933196,0.8336806,1.0722867500000002,YFV NS1
theta.1.,0.125502,0.10047595,0.154201575,YFV NS1
theta.2.,0.644505,0.5936948,0.687765125,YFV NS1
theta.3.,0.2283965,0.200101775,0.269372325,YFV NS1
mu.1.,4.376224253264743,4.2998580032647435,4.452949503264743,ZIKV VLP
mu.2.,6.437349253264744,6.2384190032647435,6.574662003264743,ZIKV VLP
mu.3.,7.286634253264744,7.163398503264743,7.3612105032647435,ZIKV VLP
sigma.1.,0.784449,0.73560425,0.841167725,ZIKV VLP
sigma.2.,0.5526995,0.413304975,0.63928735,ZIKV VLP
sigma.3.,0.2844545,0.189850225,0.367621775,ZIKV VLP
theta.1.,0.170259,0.1422138,0.199825125,ZIKV VLP
theta.2.,0.5940995,0.418680975,0.709726675,ZIKV VLP
theta.3.,0.2360125,0.125042575,0.4034162,ZIKV VLP
mu.1.,4.723819701764616,4.643568701764616,4.822420201764616,ZIKVAS EDIII
mu.2.,4.7380947017646164,4.660698201764616,4.837662201764616,ZIKVAS EDIII
mu.3.,6.077429701764617,5.901965701764616,6.219124451764616,ZIKVAS EDIII
sigma.1.,1.055085,0.97811265,1.1415705,ZIKVAS EDIII
sigma.2.,0.4502705,0.3772739,0.537545325,ZIKVAS EDIII
sigma.3.,0.7950615,0.7073516,0.8979228,ZIKVAS EDIII
theta.1.,0.008463515,2.9969805e-4,0.04479661,ZIKVAS EDIII
theta.2.,0.3256695,0.228830025,0.407712075,ZIKVAS EDIII
theta.3.,0.6624,0.5803448,0.7589096,ZIKVAS EDIII
mu.1.,3.78772,3.747919500000001,3.82957025,ZIKVSU NS1
mu.2.,5.4204550000000005,5.38857825,5.4530025,ZIKVSU NS1
mu.3.,7.887585,7.828596999999999,7.94262125,ZIKVSU NS1
sigma.1.,0.4345725,0.41016944999999994,0.462267625,ZIKVSU NS1
sigma.2.,0.5623294999999999,0.5299389250000001,0.5974365,ZIKVSU NS1
sigma.3.,0.6916530000000001,0.6503958000000001,0.7382171,ZIKVSU NS1
theta.1.,0.128711,0.113795975,0.1455611,ZIKVSU NS1
theta.2.,0.5817574999999999,0.5586608999999999,0.60451815,ZIKVSU NS1
theta.3.,0.289149,0.27227392499999997,0.3065612,ZIKVSU NS1
mu.1.,4.204705000000001,4.16559875,4.244830250000001,ZIKVU NS1
mu.2.,5.56796,5.5306,5.6055325,ZIKVU NS1
mu.3.,7.308244999999999,7.216035499999999,7.385250500000001,ZIKVU NS1
sigma.1.,0.419427,0.3974209,0.44520335,ZIKVU NS1
sigma.2.,0.5253209999999999,0.484839125,0.569490075,ZIKVU NS1
sigma.3.,0.5335179999999999,0.4845005,0.591476325,ZIKVU NS1
theta.1.,0.1989035,0.174421875,0.224306475,ZIKVU NS1
theta.2.,0.614927,0.5793705499999999,0.650189525,ZIKVU NS1
theta.3.,0.186287,0.165527575,0.208647425,ZIKVU NS1
