antigen,site,bin_id,xmin,xmax,count
CHIKV E2,French Guiana,1,2.938107515428592,3.195248231654332,0
CHIKV E2,French Guiana,2,3.195248231654332,3.4523889478800722,0
CHIKV E2,French Guiana,3,3.4523889478800722,3.709529664105813,0
CHIKV E2,French Guiana,4,3.709529664105813,3.9666703803315526,0
CHIKV E2,French Guiana,5,3.9666703803315526,4.223811096557293,0
CHIKV E2,French Guiana,6,4.223811096557293,4.480951812783033,3
CHIKV E2,French Guiana,7,4.480951812783033,4.738092529008774,2
CHIKV E2,French Guiana,8,4.738092529008774,4.995233245234514,8
CHIKV E2,French Guiana,9,4.995233245234514,5.252373961460254,63
CHIKV E2,French Guiana,10,5.252373961460254,5.509514677685994,142
CHIKV E2,French Guiana,11,5.509514677685994,5.766655393911734,180
CHIKV E2,French Guiana,12,5.766655393911734,6.023796110137475,118
CHIKV E2,French Guiana,13,6.023796110137475,6.280936826363215,78
CHIKV E2,French Guiana,14,6.280936826363215,6.5380775425889555,43
CHIKV E2,French Guiana,15,6.5380775425889555,6.795218258814696,30
CHIKV E2,French Guiana,16,6.795218258814696,7.052358975040436,32
CHIKV E2,French Guiana,17,7.052358975040436,7.3094996912661765,31
CHIKV E2,French Guiana,18,7.3094996912661765,7.566640407491916,19
CHIKV E2,French Guiana,19,7.566640407491916,7.823781123717657,14
CHIKV E2,French Guiana,20,7.823781123717657,8.080921839943397,8
CHIKV E2,French Guiana,21,8.080921839943397,8.338062556169138,6
CHIKV E2,French Guiana,22,8.338062556169138,8.595203272394876,9
CHIKV E2,French Guiana,23,8.595203272394876,8.852343988620618,1
CHIKV E2,French Guiana,24,8.852343988620618,9.10948470484636,0
CHIKV E2,French Guiana,25,9.10948470484636,9.366625421072097,0
CHIKV E2,French Guiana,26,9.366625421072097,9.623766137297839,0
CHIKV E2,French Guiana,27,9.623766137297839,9.880906853523578,0
CHIKV E2,French Guiana,28,9.880906853523578,10.138047569749318,0
CHIKV E2,French Guiana,29,10.138047569749318,10.39518828597506,0
CHIKV E2,French Guiana,30,10.39518828597506,10.6523290022008,0
CHIKV E2,New Caledonia,1,2.938107515428592,3.195248231654332,0
CHIKV E2,New Caledonia,2,3.195248231654332,3.4523889478800722,0
CHIKV E2,New Caledonia,3,3.4523889478800722,3.709529664105813,0
CHIKV E2,New Caledonia,4,3.709529664105813,3.9666703803315526,0
CHIKV E2,New Caledonia,5,3.9666703803315526,4.223811096557293,0
CHIKV E2,New Caledonia,6,4.223811096557293,4.480951812783033,0
CHIKV E2,New Caledonia,7,4.480951812783033,4.738092529008774,0
CHIKV E2,New Caledonia,8,4.738092529008774,4.995233245234514,0
CHIKV E2,New Caledonia,9,4.995233245234514,5.252373961460254,8
