antigen,site,age_cat,ymin,lower,middle,upper,ymax,n
DENV1 EDIII,Senegal,<5,3.816765309674357,4.352154197575075,4.7237082475523104,5.118866804070461,7.838470845481819,78
DENV1 EDIII,Senegal,>59,5.4114852895652374,6.0784579617274295,6.254042961842347,6.531563956182351,7.569839867600576,75
DENV1 NS1,French Guiana,18-39,3.6083497373443834,6.055816004707541,7.843307669912729,8.82161443085025,9.467122790551684,451
DENV1 NS1,French Guiana,40-59,3.6974911793494463,5.747631138612552,7.852818731396271,8.76525915387401,9.3898627542717,321
DENV1 NS1,French Guiana,>59,4.788330829278884,5.79489798190886,7.1958259129144,8.404210771869238,9.515671314208356,15
DENV1 NS1,New Caledonia,18-39,4.063432535697663,5.18765128433759,7.937326642085487,8.716142969728718,9.576652647089835,256
DENV1 NS1,New Caledonia,40-59,3.896600721783576,5.7186076438692295,8.33196406782401,8.944170585316499,9.63904878794642,304
DENV1 NS1,New Caledonia,>59,4.517351227275828,7.957006305150978,8.70909598938024,8.980572557256657,9.623106675302534,40
DENV1 NS1,Peru,10-17,3.273705721906586,3.9958851769432457,4.670157818656955,5.643639405757298,9.556077250390624,153
DENV1 NS1,Peru,18-39,3.3998948127861865,4.955876367863102,7.373619103296027,8.895931714392336,9.881877865133715,295
DENV1 NS1,Peru,40-59,3.681769847423308,5.418895425709364,7.847941249007983,8.839715460212485,9.929010951587705,142
DENV1 NS1,Peru,5-9,3.379069967147279,3.8411803130102227,4.120396767636802,4.818231796378141,8.652174224555253,126
DENV1 NS1,Peru,<5,3.2561069199944743,3.8184925428772454,4.137332614518225,4.5842593777814775,9.351423815637135,56
DENV1 NS1,Peru,>59,4.158079362891963,5.940564786293766,8.42068976868234,9.066735593131792,9.602450409047004,108
DENV1 NS1,Senegal,10-17,4.964176451310551,5.439712528348502,5.706733385934921,5.874108480050291,8.241180984714605,280
DENV1 NS1,Senegal,18-39,3.699579624918768,5.7868129481591,6.1767771286688,7.151881289074595,8.901031970203647,359
DENV1 NS1,Senegal,40-59,5.256386312202452,6.474706930357773,7.3290874688727525,7.880844707233724,9.20241184370834,214
DENV1 NS1,Senegal,5-9,3.4919402601405234,5.373468936145026,5.645998647972769,5.823941796736001,8.603353015126315,213
DENV1 NS1,Senegal,<5,3.3837266755002906,3.5601462852036443,3.669243939768827,3.8517629890491594,5.942060793843108,78
DENV1 NS1,Senegal,>59,5.209138441725649,6.955348732115706,7.386361192044453,7.868653679861675,8.71298024097516,75
DENV1 VLP,French Guiana,18-39,3.8746621521147895,9.2546560177569,9.639510699839198,9.828485434531245,10.234895805632622,451
DENV1 VLP,French Guiana,40-59,4.716147041570819,9.240297804457056,9.629551647185147,9.789895349230612,10.140668470487276,321
DENV1 VLP,French Guiana,>59,6.466437154256161,9.536531779891783,9.6577837155033,9.780763154589549,9.99365293236894,15
DENV1 VLP,New Caledonia,18-39,4.1183223040351145,8.189577154871719,9.513950326194273,9.812286240026472,10.141960195451306,256
DENV1 VLP,New Caledonia,40-59,4.078410848089601,8.743356611167854,9.609129489301322,9.888781387343858,10.190089881146926,304
DENV1 VLP,New Caledonia,>59,4.704413432811705,9.422706183556123,9.734852738034599,9.95229094420354,10.091343507541731,40
DENV1 VLP,Peru,10-17,3.3837522646886615,5.011263199760577,8.05847557586075,9.244802737438649,10.14580332940207,153
DENV1 VLP,Peru,18-39,4.193955636129996,8.593937204132697,9.472923991914818,9.814925705341269,10.18561104524102,295
DENV1 VLP,Peru,40-59,4.281204401844775,9.272905447245085,9.629570654129136,9.839923810341269,10.150217866369392,142
DENV1 VLP,Peru,5-9,3.548055315979938,4.45385738108795,5.018182218405833,7.972696630196518,9.949875539929351,126
DENV1 VLP,Peru,<5,3.808689746613509,4.757263443755508,5.843809415003,8.127751208920776,9.988270456372764,56
DENV1 VLP,Peru,>59,5.63633946390093,9.503010577953335,9.759169967665969,9.912739544427113,10.212386337150551,108
DENV1 VLP,Senegal,10-17,4.149073121592778,5.47292384360044,6.970251525352696,7.977625474771832,9.972749376261689,280
DENV1 VLP,Senegal,18-39,4.533731056670166,7.584981311761977,8.686171600492415,9.285362295919914,9.969949965247192,359
DENV1 VLP,Senegal,40-59,4.932539691560033,8.848538703862683,9.303076048277518,9.555015187847179,9.946271813931912,214
DENV1 VLP,Senegal,5-9,3.309935582959716,5.068048020578011,5.585486229721408,7.141547781489783,9.837313931262784,213
DENV1 VLP,Senegal,<5,3.2157259237939115,4.336425843221104,5.265848065968556,6.184071309358188,8.54589189408253,78
DENV1 VLP,Senegal,>59,4.133727551918117,8.9782399290145,9.284300338097111,9.477669084976199,9.88889940366584,75
DENV2 EDIII,French Guiana,18-39,3.6936313883157217,5.775312180476908,6.376335691935593,7.3878342979929315,9.612761671759694,451
DENV2 EDIII,French Guiana,40-59,4.775996006835164,6.0023846794172595,6.884303178516932,7.560531904358379,10.6523290022008,321
DENV2 EDIII,French Guiana,>59,5.505323977724557,5.91026079922701,6.232308611133285,6.908779365411691,8.481870381308307,15
DENV2 EDIII,New Caledonia,18-39,4.411283552693014,5.520222660808725,5.909044522076741,6.255284838090502,9.55889681111604,256
DENV2 EDIII,New Caledonia,40-59,4.665917422518296,5.593963142594518,5.9663554797790805,6.3736780314362145,8.848750475218132,304
DENV2 EDIII,New Caledonia,>59,4.823816246524461,5.644642093164062,5.909396708305227,6.614902973407461,8.758718547610663,40
DENV2 EDIII,Peru,10-17,4.193940066878592,5.22355948405975,5.534698914508227,6.166877535157203,8.341359590362057,153
DENV2 EDIII,Peru,18-39,3.9911323043555966,5.311587337870334,5.734435815206958,6.312399556476422,8.607886255649268,295
DENV2 EDIII,Peru,40-59,4.510055922837114,5.549166677209579,5.99417258305493,6.743109931757142,9.37720293208136,142
DENV2 EDIII,Peru,5-9,3.434408806706848,5.2246225480268516,5.719753539984602,6.317668503213679,8.703054904424228,126
DENV2 EDIII,Peru,<5,4.43191245514673,5.338800713247312,5.859655044588308,6.360236996416024,9.545154180705312,56
DENV2 EDIII,Peru,>59,4.397897388023925,5.48857200314489,5.969893349035299,6.486150237291698,8.987044099816083,108
DENV2 EDIII,Senegal,10-17,4.87973848291044,5.852736417983698,6.081923275675168,6.497567622605343,8.181029047541587,280
DENV2 EDIII,Senegal,18-39,5.196609169080527,5.904598592507959,6.2376410279231305,6.5411734651980495,8.684729668996097,359
DENV2 EDIII,Senegal,40-59,5.416743959972732,5.935583578675947,6.1786892448674084,6.633397101507485,9.64046142251915,214
DENV2 EDIII,Senegal,5-9,4.497726891043966,5.757217575608266,6.012106667382107,6.354401587203952,8.295729823903448,213
DENV2 EDIII,Senegal,<5,4.250759634964827,5.139155284396071,5.52507084979114,6.114130241461774,7.701530554945079,78
DENV2 EDIII,Senegal,>59,4.851554499805262,5.95338250138802,6.1026358675457635,6.5207160982614525,9.673608077794542,75
DENV2 NS1,French Guiana,18-39,3.772674067186292,6.211349083876597,8.04353276793477,8.928661985450924,9.542089728882203,451
DENV2 NS1,French Guiana,40-59,3.8494158048555422,5.96108081368481,8.001199282749797,8.900952503542857,9.484197376665715,321
DENV2 NS1,French Guiana,>59,4.954219085414497,5.7883789380092825,7.3460404122678336,8.586707602457206,9.602478315012013,15
DENV2 NS1,New Caledonia,18-39,4.140738571269333,5.300798017444562,7.712049251434655,8.756014993763003,9.8195258087201,256
DENV2 NS1,New Caledonia,40-59,4.089815789776832,5.669626323097788,8.348008503865703,9.056626720177686,9.811898566776572,304
DENV2 NS1,New Caledonia,>59,4.486791059969178,7.920057191572608,8.619321665813793,8.883530310763582,9.597451787300791,40
DENV2 NS1,Peru,10-17,3.2975419816571474,4.1120500192213605,4.890702507410206,6.18446236333346,9.594769550909412,153
DENV2 NS1,Peru,18-39,3.5387272834135324,4.872695743602004,7.695346220402722,8.959428809681585,9.92421799558464,295
DENV2 NS1,Peru,40-59,3.6937853570841233,5.621508433527978,8.098728037094624,8.930702431971786,9.931492197743395,142
DENV2 NS1,Peru,5-9,3.4471745758725,3.9041722580010987,4.2629863377311334,5.195083981965244,8.974358182612846,126
DENV2 NS1,Peru,<5,3.371558375513226,3.867399507694827,4.19187296605658,5.048229876528386,9.4346263343917,56
DENV2 NS1,Peru,>59,4.149698768906564,5.776221865924336,8.209390377502302,9.053550725804737,9.639651337250683,108
DENV2 NS1,Senegal,10-17,4.977160961121819,5.596656818255826,5.836485183534119,6.010016075501926,8.44100579692985,280
DENV2 NS1,Senegal,18-39,3.6702057331229376,5.9397810700274505,6.344567359698214,7.3305009040737605,9.060911721967493,359
DENV2 NS1,Senegal,40-59,5.254944298706539,6.643621596567136,7.510521656264427,8.136462560725294,9.343041092946962,214
DENV2 NS1,Senegal,5-9,3.5713915173316293,5.509151675687961,5.7720908359917065,5.9614252166881645,8.760194866490778,213
DENV2 NS1,Senegal,<5,3.3164992677028393,3.5550311883336496,3.6219336994945532,3.822530836147788,5.726657756578074,78
DENV2 NS1,Senegal,>59,5.372628833761479,7.1296313002182865,7.593895648034623,8.092082138616256,8.896833161792653,75
DENV2 VLP,French Guiana,18-39,4.175795243082101,9.384055882108612,9.754629604942537,9.89653670799685,10.19713095301012,451
DENV2 VLP,French Guiana,40-59,5.015963390106552,9.3881356128008715,9.73191183072131,9.85909469631846,10.116157051895865,321
DENV2 VLP,French Guiana,>59,7.089338430616776,9.62055861178135,9.77417110192922,9.815610263817495,10.003782156202591,15
DENV2 VLP,New Caledonia,18-39,4.382706286065701,8.4171487866601,9.605013861325139,9.866971536565842,10.105687014683708,256
DENV2 VLP,New Caledonia,40-59,4.343365742942059,8.962361381427668,9.708665643296733,9.890230953848274,10.123427377092494,304
DENV2 VLP,New Caledonia,>59,5.490480255909095,9.548997613572183,9.819708079286933,9.946555462238154,10.089468955414198,40
DENV2 VLP,Peru,10-17,3.6564398720119335,5.542615489131833,8.28555139259375,9.502397745952903,10.214618994742253,153
DENV2 VLP,Peru,18-39,4.387188336548503,8.966317792518772,9.653703689733351,9.883105319678084,10.27558530403791,295
DENV2 VLP,Peru,40-59,4.511336766071962,9.424471401209008,9.766033014411116,9.919644297506634,10.200385238803506,142
DENV2 VLP,Peru,5-9,3.82971159328597,4.952842807803732,5.573019622743711,8.436755114931717,10.038559642918209,126
DENV2 VLP,Peru,<5,4.174035635944261,5.286033770103227,6.419957902729411,8.448569944266879,10.04250167700852,56
DENV2 VLP,Peru,>59,5.900798693983501,9.679991414017351,9.874158390740511,9.961862257276131,10.17060151650085,108
DENV2 VLP,Senegal,10-17,4.306799336103808,5.669869460830727,7.160154893316211,8.399986158869195,9.932816980058826,280
DENV2 VLP,Senegal,18-39,4.565474483180688,7.9740050942989065,9.022102566202866,9.522388618009684,9.94787537687281,359
DENV2 VLP,Senegal,40-59,4.984024161633709,9.183078281825923,9.541487075365325,9.718608599958154,10.054115711186668,214
DENV2 VLP,Senegal,5-9,3.9241142563274622,5.2626576405840355,5.852392514268459,7.454351899020635,9.90200946941667,213
DENV2 VLP,Senegal,<5,3.6112555290509034,4.728826512716351,5.680053873309044,6.817054349245443,8.702312399710866,78
DENV2 VLP,Senegal,>59,4.138537286016559,9.249458776097889,9.540797715926926,9.650219621004755,9.94801284314326,75
DENV3 EDIII,French Guiana,18-39,3.998166070558249,5.626228638688165,6.145352457345155,7.162971271805754,9.94841111141591,451
DENV3 EDIII,French Guiana,40-59,4.749234085326809,5.757100567569342,6.189309585609459,7.364531123056233,10.285340200117496,321
DENV3 EDIII,French Guiana,>59,5.160300564071145,5.581166080190332,5.777373855746747,6.300733807507637,7.203240650135144,15
DENV3 EDIII,New Caledonia,18-39,4.361349871085562,5.322184502288264,5.663210231878924,6.085831031126746,9.4008599700797,256
DENV3 EDIII,New Caledonia,40-59,4.543642719605712,5.4099862813059,5.774551193122166,6.12459683376817,8.257152735185407,304
DENV3 EDIII,New Caledonia,>59,4.77868886484844,5.498425454090368,5.853398825367906,6.302509927402449,7.831439884181609,40
DENV3 EDIII,Peru,10-17,3.9027957628790984,4.921993770012766,5.245780847106664,5.719713343116013,7.86359349183736,153
DENV3 EDIII,Peru,18-39,4.183931601377544,5.147710814915023,5.562269946809404,6.0053228682119695,8.09301933265128,295
DENV3 EDIII,Peru,40-59,4.6945735468806715,5.407507542518378,5.781523912291427,6.299412050081015,9.463051448178096,142
DENV3 EDIII,Peru,5-9,3.778607831329593,4.9885871048883,5.332580430928463,6.095126455116332,7.534408815825408,126
DENV3 EDIII,Peru,<5,3.779462285263149,4.885369809046761,5.277597797672435,5.81439987474487,8.904942429078107,56
DENV3 EDIII,Peru,>59,4.610150799680109,5.433845032289572,5.7916235706644095,6.147588384702889,7.853239575781801,108
DENV3 EDIII,Senegal,10-17,4.918445610503723,5.646555466083914,5.943828493651658,6.183545859031131,7.736027797256085,280
DENV3 EDIII,Senegal,18-39,3.994286415059415,5.787053869427817,6.070004511560227,6.403156157438263,9.27737322080995,359
DENV3 EDIII,Senegal,40-59,5.075890074727333,5.905164833654458,6.12404453587692,6.506447618725578,8.988044908544206,214
DENV3 EDIII,Senegal,5-9,3.8981102790337783,5.594098151513144,5.842685429839352,6.096766320026173,8.261974454618958,213
DENV3 EDIII,Senegal,<5,3.4270194803884717,4.3193410639202305,4.6861882696452035,5.122633219500605,7.53833023505441,78
DENV3 EDIII,Senegal,>59,4.939392779008497,5.87856472274566,6.122256238365253,6.362904424039158,7.550531683930767,75
DENV3 NS1,French Guiana,18-39,3.4594109353260487,5.70601143220625,7.723881724926642,8.667987750228644,9.488883744985149,451
DENV3 NS1,French Guiana,40-59,3.784574413861241,5.594999296783662,7.53424082606297,8.619919310404072,9.442903964034878,321
DENV3 NS1,French Guiana,>59,4.6980625103958085,5.887162634501622,7.105192626632616,8.477303451937495,9.24308573029696,15
DENV3 NS1,New Caledonia,18-39,3.7584002744068368,4.474869941601108,7.263897383525375,8.45381978008235,9.483840541503,256
DENV3 NS1,New Caledonia,40-59,3.672779328067717,4.942928263259774,8.042411836697962,8.804370262716468,9.58303870149057,304
DENV3 NS1,New Caledonia,>59,4.127205809872178,6.837948385662628,8.432237888504837,8.752608145626773,9.235148713353553,40
DENV3 NS1,Peru,10-17,3.3312038950683753,3.8384333296986783,4.390620527603651,5.087345638401754,9.332826912578374,153
DENV3 NS1,Peru,18-39,3.4927520273549613,4.533162502758714,7.262855148029142,8.75939340414082,9.922108856018763,295
DENV3 NS1,Peru,40-59,3.5281065645052063,5.024815742257425,7.694774258197289,8.863891703198174,9.935044341843833,142
DENV3 NS1,Peru,5-9,3.207617396227742,3.658176826114339,3.9205853519091862,4.526630631668539,8.502170168254919,126
DENV3 NS1,Peru,<5,3.3573209892557547,3.6688731780665886,3.925790241784987,4.376757517447961,9.143691907519848,56
DENV3 NS1,Peru,>59,3.986550276732141,5.807545097108384,8.156203095472973,8.901208586642213,9.521899358527063,108
DENV3 NS1,Senegal,10-17,4.827393840841908,5.420868223719239,5.662862866885455,5.830357676803214,7.784183830366641,280
