term,CHIKV VLP,MAYV E2,ONNV VLP,CHIKV E2,MAYV NSP1
CHIKV VLP,0,0.9182125416505684,0.9167115592719097,0.8191377938223188,0.632981785104719
MAYV E2,0.9182125416505684,0,0.8733306602761347,0.79961092842649,0.6292324217333539
ONNV VLP,0.9167115592719097,0.8733306602761347,0,0.8649583810343537,0.6712032466829311
CHIKV E2,0.8191377938223188,0.79961092842649,0.8649583810343537,0,0.6676341132739062
MAYV NSP1,0.632981785104719,0.6292324217333539,0.6712032466829311,0.6676341132739062,0
