xmin,xmax,xmid,count,density,n
3.2,3.4000000000000004,3.3000000000000003,3,0.058823529411764656,255
3.4000000000000004,3.6,3.5,5,0.09803921568627465,255
3.6,3.8000000000000003,3.7,5,0.09803921568627443,255
3.8000000000000003,4,3.9000000000000004,9,0.17647058823529435,255
4,4.2,4.1,12,0.23529411764705863,255
4.2,4.4,4.300000000000001,15,0.29411764705882326,255
4.4,4.6000000000000005,4.5,12,0.23529411764705863,255
4.6000000000000005,4.800000000000001,4.700000000000001,19,0.3725490196078428,255
4.800000000000001,5,4.9,19,0.3725490196078445,255
5,5.2,5.1,6,0.11764705882352931,255
5.2,5.4,5.300000000000001,13,0.2549019607843135,255
5.4,5.6000000000000005,5.5,16,0.31372549019607815,255
5.6000000000000005,5.800000000000001,5.700000000000001,9,0.17647058823529396,255
5.800000000000001,6,5.9,8,0.1568627450980398,255
6,6.2,6.1,6,0.11764705882352931,255
6.2,6.4,6.300000000000001,2,0.03921568627450977,255
6.4,6.6000000000000005,6.5,2,0.03921568627450977,255
6.6000000000000005,6.800000000000001,6.700000000000001,0,0,255
6.800000000000001,7,6.9,2,0.03921568627450995,255
7,7.2,7.1,5,0.09803921568627443,255
7.2,7.4,7.300000000000001,5,0.09803921568627443,255
7.4,7.6000000000000005,7.5,8,0.15686274509803907,255
7.6000000000000005,7.800000000000001,7.700000000000001,3,0.058823529411764656,255
7.800000000000001,8,7.9,4,0.0784313725490199,255
8,8.2,8.1,6,0.11764705882352984,255
8.2,8.4,8.3,9,0.17647058823529319,255
8.4,8.600000000000001,8.5,13,0.2549019607843124,255
8.600000000000001,8.8,8.700000000000001,10,0.19607843137254974,255
8.8,9,8.9,12,0.23529411764705968,255
9,9.2,9.1,7,0.1372549019607848,255
9.2,9.4,9.3,6,0.11764705882352879,255
9.4,9.600000000000001,9.5,3,0.05882352941176439,255
9.600000000000001,9.8,9.700000000000001,1,0.019607843137254975,255
